+--------------------------+------------+------------+-----------------------------------+
| ΚΑΤΗΓΟΡΙΑ_ICD10          | ΕΤΟΣ_1     | ΕΤΟΣ_2     | ΑΡΙΘΜΟΣ_ΕΙΣΑΓΩΓΩΝ                 |
| P02                      |       2024 |       2025 |                                 7 |
| P02                      |       2025 |       2026 |                                 7 |
| P03                      |       2024 |       2025 |                                10 |
| P04                      |       2025 |       2026 |                                 8 |
| P15                      |       2024 |       2025 |                                 8 |
| P29                      |       2024 |       2025 |                                 7 |
| P36                      |       2025 |       2026 |                                 7 |
| P39                      |       2024 |       2025 |                                 8 |
| P55                      |       2025 |       2026 |                                 5 |
| P59                      |       2025 |       2026 |                                 7 |
| P70                      |       2025 |       2026 |                                 8 |
| P76                      |       2024 |       2025 |                                 5 |
| P96                      |       2025 |       2026 |                                 8 |
| Q05                      |       2025 |       2026 |                                 9 |
| Q06                      |       2024 |       2025 |                                 6 |
| Q13                      |       2024 |       2025 |                                 9 |
| Q17                      |       2025 |       2026 |                                 8 |
| Q42                      |       2025 |       2026 |                                 5 |
| Q44                      |       2025 |       2026 |                                 6 |
| Q64                      |       2025 |       2026 |                                10 |
| Q77                      |       2025 |       2026 |                                12 |
| Q78                      |       2024 |       2025 |                                 7 |
| Q92                      |       2025 |       2026 |                                 9 |
| Q97                      |       2025 |       2026 |                                 5 |
| R07                      |       2025 |       2026 |                                 7 |
| R43                      |       2025 |       2026 |                                 5 |
| R47                      |       2024 |       2025 |                                 7 |
| R76                      |       2025 |       2026 |                                 7 |
| R82                      |       2024 |       2025 |                                 9 |
| R93                      |       2024 |       2025 |                                11 |
| S04                      |       2024 |       2025 |                                12 |
| S08                      |       2024 |       2025 |                                 7 |
| S11                      |       2025 |       2026 |                                 7 |
| S15                      |       2024 |       2025 |                                 9 |
| S22                      |       2025 |       2026 |                                 8 |
| S35                      |       2024 |       2025 |                                11 |
| S38                      |       2024 |       2025 |                                 6 |
| S58                      |       2025 |       2026 |                                 8 |
| S63                      |       2024 |       2025 |                                 9 |
| S69                      |       2025 |       2026 |                                 6 |
| S76                      |       2025 |       2026 |                                 6 |
| S86                      |       2024 |       2025 |                                 6 |
| S90                      |       2025 |       2026 |                                10 |
| T02                      |       2025 |       2026 |                                12 |
| T03                      |       2025 |       2026 |                                 5 |
| T04                      |       2024 |       2025 |                                 7 |
| T18                      |       2024 |       2025 |                                10 |
| T19                      |       2025 |       2026 |                                 7 |
| T23                      |       2024 |       2025 |                                 6 |
| T62                      |       2025 |       2026 |                                 5 |
| T75                      |       2025 |       2026 |                                 6 |
| T80                      |       2025 |       2026 |                                 6 |
| T87                      |       2025 |       2026 |                                11 |
| V49                      |       2024 |       2025 |                                 5 |
| V49                      |       2025 |       2026 |                                 5 |
| V83                      |       2025 |       2026 |                                10 |
| Y40                      |       2025 |       2026 |                                11 |
| Y51                      |       2025 |       2026 |                                 7 |
| Y55                      |       2025 |       2026 |                                 8 |
| Y62                      |       2025 |       2026 |                                 7 |
| Y65                      |       2025 |       2026 |                                12 |
| Z01                      |       2024 |       2025 |                                 9 |
| Z11                      |       2025 |       2026 |                                 8 |
| Z30                      |       2024 |       2025 |                                 7 |
| Z31                      |       2025 |       2026 |                                12 |
| Z37                      |       2025 |       2026 |                                10 |
| Z41                      |       2024 |       2025 |                                 8 |
| Z44                      |       2024 |       2025 |                                 7 |
| Z46                      |       2025 |       2026 |                                 8 |
| Z55                      |       2024 |       2025 |                                 6 |
| Z55                      |       2025 |       2026 |                                 6 |
| Z74                      |       2025 |       2026 |                                 5 |
| Z76                      |       2024 |       2025 |                                 7 |
| Z84                      |       2024 |       2025 |                                 7 |
| Z86                      |       2025 |       2026 |                                 9 |
| Z96                      |       2025 |       2026 |                                 7 |
+--------------------------+------------+------------+-----------------------------------+
226 rows in set (0.766 sec)
