+-----------------------------+----------+-----------------------+---------------------------------------+-----------------------------------+----------------------------------+--------------------------------------+-----------------------------+
| ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ              | ΕΤΟΣ     | ΚΩΔΙΚΟΣ_ΚΕΝ           | ΑΣΦΑΛΙΣΤΙΚΟΣ_ΦΟΡΕΑΣ                   | ΑΡΙΘΜΟΣ_ΝΟΣΗΛΕΙΩΝ                 | ΒΑΣΙΚΟ_ΚΟΣΤΟΣ_ΚΕΝ                | ΠΡΟΣΘΕΤΗ_ΧΡΕΩΣΗ_ΜΔΝ                  | ΣΥΝΟΛΙΚΑ_ΕΣΟΔΑ              |
| Χειρουργική                 |     2026 | Ε05Α                  | ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ                    |                                 2 |                         68558.00 |                              6855.80 |                    75413.80 |
| Παιδιατρική                 |     2026 | Τ04Α                  | NN HELLAS                             |                                 6 |                         71982.00 |                              3175.68 |                    75157.68 |
| ΜΕΘ                         |     2026 | Ζ01Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 2 |                         72136.00 |                              2847.47 |                    74983.47 |
| ΜΕΘ                         |     2026 | Ε05Α                  | GENERALI                              |                                 2 |                         68558.00 |                              5141.85 |                    73699.85 |
| Χειρουργική                 |     2026 | Ζ01Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 2 |                         72136.00 |                               949.16 |                    73085.16 |
| ΜΕΘ                         |     2026 | Ε09Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 4 |                         61384.00 |                             11509.50 |                    72893.50 |
| ΜΕΘ                         |     2026 | Ε05Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 2 |                         68558.00 |                              3427.90 |                    71985.90 |
| ΜΕΘ                         |     2026 | Κ01Μ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 3 |                         48645.00 |                             20268.75 |                    68913.75 |
| Παιδιατρική                 |     2026 | Τ02Α                  | EUROLIFE FFH                          |                                 3 |                         60837.00 |                              7053.57 |                    67890.57 |
| Χειρουργική                 |     2026 | Ε06Χα                 | NN HELLAS                             |                                 3 |                         61791.00 |                              4943.28 |                    66734.28 |
| Παιδιατρική                 |     2026 | Τ06Μ                  | GENERALI                              |                                 4 |                         60512.00 |                              6051.20 |                    66563.20 |
| Παιδιατρική                 |     2026 | Τ04Α                  | INTERAMERICAN                         |                                 5 |                         59985.00 |                              6351.35 |                    66336.35 |
| Ορθοπεδική                  |     2026 | Μ09Χ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 4 |                         39132.00 |                             26553.86 |                    65685.86 |
| Χειρουργική                 |     2026 | Μ06Α                  | EUROLIFE FFH                          |                                 2 |                         39960.00 |                             22200.00 |                    62160.00 |
| Παιδιατρική                 |     2026 | Τ22Α                  | ΕΟΠΥΥ                                 |                                 2 |                         61450.00 |                                 0.00 |                    61450.00 |
| Καρδιολογία                 |     2026 | Κ04Μ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 4 |                         52620.00 |                              8456.79 |                    61076.79 |
| ΜΕΘ                         |     2026 | Κ01Μ                  | GENERALI                              |                                 3 |                         48645.00 |                             12161.25 |                    60806.25 |
| Χειρουργική                 |     2026 | Ε06Χβ                 | ΕΟΠΥΥ                                 |                                 3 |                         46644.00 |                             13604.50 |                    60248.50 |
| Χειρουργική                 |     2026 | Ε01Α                  | NN HELLAS                             |                                 2 |                         57814.00 |                              2223.62 |                    60037.62 |
| Χειρουργική                 |     2026 | Ε07Α                  | ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ                       |                                 2 |                         53016.00 |                              7016.83 |                    60032.83 |
| Παιδιατρική                 |     2026 | Τ23Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 7 |                         51513.00 |                              7947.72 |                    59460.72 |
| Χειρουργική                 |     2026 | Ε03Α                  | ΕΟΠΥΥ                                 |                                 1 |                         50379.00 |                              8636.40 |                    59015.40 |
| Καρδιολογία                 |     2026 | Κ01Μ                  | NN HELLAS                             |                                 3 |                         48645.00 |                              9458.75 |                    58103.75 |
| Χειρουργική                 |     2026 | Μ06Α                  | GENERALI                              |                                 2 |                         39960.00 |                             17760.00 |                    57720.00 |
| Χειρουργική                 |     2026 | Ε09Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 3 |                         46038.00 |                             11509.50 |                    57547.50 |
| Ορθοπεδική                  |     2026 | Μ32Χ                  | INTERAMERICAN                         |                                 4 |                         36588.00 |                             20326.67 |                    56914.67 |
| ΜΕΘ                         |     2026 | Ε03Α                  | ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ                    |                                 1 |                         50379.00 |                              5757.60 |                    56136.60 |
| Χειρουργική                 |     2026 | Ε03Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 1 |                         50379.00 |                              5757.60 |                    56136.60 |
| ΜΕΘ                         |     2026 | Ε03Α                  | EUROLIFE FFH                          |                                 1 |                         50379.00 |                              4318.20 |                    54697.20 |
| Καρδιολογία                 |     2026 | Κ01Μ                  | ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ                    |                                 2 |                         32430.00 |                             21620.00 |                    54050.00 |
| Καρδιολογία                 |     2026 | Κ01Χ                  | ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ                       |                                 2 |                         24840.00 |                             28980.00 |                    53820.00 |
| Ορθοπεδική                  |     2026 | Μ06Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 2 |                         39960.00 |                             13320.00 |                    53280.00 |
| Ορθοπεδική                  |     2026 | Μ05Χ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 4 |                         24404.00 |                             28064.60 |                    52468.60 |
| Παιδιατρική                 |     2026 | Τ02Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 2 |                         40558.00 |                             11462.04 |                    52020.04 |
| ΜΕΘ                         |     2026 | Ε03Α                  | ΕΟΠΥΥ                                 |                                 1 |                         50379.00 |                              1439.40 |                    51818.40 |
| ΜΕΘ                         |     2026 | Ε06Χβ                 | EUROLIFE FFH                          |                                 3 |                         46644.00 |                              4858.75 |                    51502.75 |
| Ογκολογία                   |     2026 | Σ01Μ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 5 |                         42790.00 |                              8557.99 |                    51347.99 |
| Καρδιολογία                 |     2026 | Κ03Μ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 3 |                         46287.00 |                              4695.78 |                    50982.78 |
| ΩΡΛ                         |     2026 | Ω02Μα                 | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 8 |                         43360.00 |                              7390.90 |                    50750.90 |
| Παιδιατρική                 |     2026 | Τ06Μ                  | ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ                       |                                 3 |                         45384.00 |                              4538.39 |                    49922.39 |
| Παιδιατρική                 |     2026 | Τ02Α                  | NN HELLAS                             |                                 2 |                         40558.00 |                              8816.95 |                    49374.95 |
| Νευρολογία                  |     2026 | Ν21Μ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 8 |                         39680.00 |                              8680.00 |                    48360.00 |
| Παιδιατρική                 |     2026 | Τ25Μα                 | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 7 |                         41104.00 |                              6850.67 |                    47954.67 |
| Ορθοπεδική                  |     2026 | Μ01Χ                  | ΕΟΠΥΥ                                 |                                 3 |                         28818.00 |                             17839.72 |                    46657.72 |
| ΜΕΘ                         |     2026 | Ε13Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 1 |                         37063.00 |                              9564.65 |                    46627.65 |
| Χειρουργική                 |     2026 | Μ09Χ                  | GENERALI                              |                                 3 |                         29349.00 |                             16770.86 |                    46119.86 |
| ΜΕΘ                         |     2026 | Ε06Μ                  | INTERAMERICAN                         |                                 1 |                         39863.00 |                              5937.04 |                    45800.04 |
| ΜΕΘ                         |     2026 | Ε06Μ                  | GENERALI                              |                                 1 |                         39863.00 |                              5937.04 |                    45800.04 |
| ΜΕΘ                         |     2026 | Κ01Χ                  | ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ                    |                                 1 |                         12420.00 |                             33120.00 |                    45540.00 |
| Χειρουργική                 |     2026 | Ε06Μ                  | GENERALI                              |                                 1 |                         39863.00 |                              4240.74 |                    44103.74 |
| ΜΕΘ                         |     2026 | Ε06Μ                  | ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ                       |                                 1 |                         39863.00 |                              3392.60 |                    43255.60 |
| Παιδιατρική                 |     2026 | Τ02Α                  | INTERAMERICAN                         |                                 2 |                         40558.00 |                              2645.09 |                    43203.09 |
| ΜΕΘ                         |     2026 | Κ08Μ                  | GENERALI                              |                                 4 |                         35824.00 |                              7276.75 |                    43100.75 |
| Παιδιατρική                 |     2026 | Τ21Α                  | NN HELLAS                             |                                 1 |                         41579.00 |                              1139.15 |                    42718.15 |
| ΜΕΘ                         |     2026 | Ε11Χ                  | ΕΟΠΥΥ                                 |                                 4 |                         21208.00 |                             21207.99 |                    42415.99 |
| Χειρουργική                 |     2026 | Δ01Μ                  | INTERAMERICAN                         |                                 4 |                         34228.00 |                              7986.54 |                    42214.54 |
| Χειρουργική                 |     2026 | Μ06Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 2 |                         39960.00 |                              2220.00 |                    42180.00 |
| Ορθοπεδική                  |     2026 | Μ31Μ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 3 |                         35025.00 |                              7106.52 |                    42131.52 |
| Χειρουργική                 |     2026 | Μ04Χ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 4 |                         26444.00 |                             15425.67 |                    41869.67 |
| Χειρουργική                 |     2026 | Ε13Α                  | INTERAMERICAN                         |                                 1 |                         37063.00 |                              4782.32 |                    41845.32 |
| Χειρουργική                 |     2026 | Ε06Χβ                 | GENERALI                              |                                 2 |                         31096.00 |                             10689.25 |                    41785.25 |
| Χειρουργική                 |     2026 | Ζ01Α                  | ΕΟΠΥΥ                                 |                                 1 |                         36068.00 |                              5694.95 |                    41762.95 |
| Παιδιατρική                 |     2026 | Τ21Α                  | GENERALI                              |                                 1 |                         41579.00 |                                 0.00 |                    41579.00 |
| Παιδιατρική                 |     2026 | Τ21Α                  | ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ                    |                                 1 |                         41579.00 |                                 0.00 |                    41579.00 |
| Καρδιολογία                 |     2026 | Κ01Χ                  | EUROLIFE FFH                          |                                 1 |                         12420.00 |                             28980.00 |                    41400.00 |
| Ορθοπεδική                  |     2026 | Μ01Χ                  | INTERAMERICAN                         |                                 3 |                         28818.00 |                             12350.58 |                    41168.58 |
| Χειρουργική                 |     2026 | Ε05Α                  | EUROLIFE FFH                          |                                 1 |                         34279.00 |                              6855.80 |                    41134.80 |
+-----------------------------+----------+-----------------------+---------------------------------------+-----------------------------------+----------------------------------+--------------------------------------+-----------------------------+
100 rows in set (1.404 sec)
