+----------------------------------+-------------------------------+----------------------+---------------------------+---------------------------------+----------------------------------------+-------------------------------------+
| ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ                   | ΚΩΔΙΚΟΣ_ΒΑΡΔΙΑΣ               | ΗΜΕΡΟΜΗΝΙΑ           | ΤΥΠΟΣ_ΒΑΡΔΙΑΣ             | ΤΥΠΟΣ_ΠΡΟΣΩΠΙΚΟΥ                | ΥΠΟΚΛΑΣΗ_ΠΡΟΣΩΠΙΚΟΥ                    | ΑΡΙΘΜΟΣ_ΠΡΟΣΩΠΙΚΟΥ                  |
| Ενδοκρινολογία                   | SHF_21373                     | 2026-04-20           | Πρωινή                    | Νοσηλευτής                      | Βοηθός Νοσηλευτή                       |                                   2 |
| Ενδοκρινολογία                   | SHF_21373                     | 2026-04-20           | Πρωινή                    | Νοσηλευτής                      | Νοσηλευτής                             |                                   3 |
| Ενδοκρινολογία                   | SHF_21373                     | 2026-04-20           | Πρωινή                    | Νοσηλευτής                      | Προϊστάμενος                           |                                   1 |
| Ενδοκρινολογία                   | SHF_21374                     | 2026-04-20           | Απογευματινή              | Διοικητικός                     | Λογιστής                               |                                   2 |
| Ενδοκρινολογία                   | SHF_21374                     | 2026-04-20           | Απογευματινή              | Ιατρός                          | Ογκολόγος                              |                                   2 |
| Ενδοκρινολογία                   | SHF_21374                     | 2026-04-20           | Απογευματινή              | Ιατρός                          | Πνευμονολόγος                          |                                   1 |
| Ενδοκρινολογία                   | SHF_21374                     | 2026-04-20           | Απογευματινή              | Νοσηλευτής                      | Βοηθός Νοσηλευτή                       |                                   3 |
| Ενδοκρινολογία                   | SHF_21374                     | 2026-04-20           | Απογευματινή              | Νοσηλευτής                      | Νοσηλευτής                             |                                   2 |
| Ενδοκρινολογία                   | SHF_21374                     | 2026-04-20           | Απογευματινή              | Νοσηλευτής                      | Προϊστάμενος                           |                                   1 |
| Ενδοκρινολογία                   | SHF_21375                     | 2026-04-20           | Νυχτερινή                 | Διοικητικός                     | Λογιστής                               |                                   1 |
| Ενδοκρινολογία                   | SHF_21375                     | 2026-04-20           | Νυχτερινή                 | Διοικητικός                     | Υπάλληλος Υποδοχής                     |                                   1 |
| Ενδοκρινολογία                   | SHF_21375                     | 2026-04-20           | Νυχτερινή                 | Ιατρός                          | Επειγοντολόγος                         |                                   1 |
| Ενδοκρινολογία                   | SHF_21375                     | 2026-04-20           | Νυχτερινή                 | Ιατρός                          | Οφθαλμίατρος                           |                                   1 |
| Ενδοκρινολογία                   | SHF_21375                     | 2026-04-20           | Νυχτερινή                 | Ιατρός                          | Παιδίατρος                             |                                   1 |
| Ενδοκρινολογία                   | SHF_21375                     | 2026-04-20           | Νυχτερινή                 | Νοσηλευτής                      | Νοσηλευτής                             |                                   5 |
| Ενδοκρινολογία                   | SHF_21375                     | 2026-04-20           | Νυχτερινή                 | Νοσηλευτής                      | Προϊστάμενος                           |                                   1 |
| Επείγοντα                        | SHF_21340                     | 2026-04-20           | Πρωινή                    | Διοικητικός                     | Γραμματέας                             |                                   2 |
| Επείγοντα                        | SHF_21340                     | 2026-04-20           | Πρωινή                    | Ιατρός                          | Νευρολόγος                             |                                   2 |
| Επείγοντα                        | SHF_21340                     | 2026-04-20           | Πρωινή                    | Ιατρός                          | Ορθοπεδικός                            |                                   1 |
+----------------------------------+-------------------------------+----------------------+---------------------------+---------------------------------+----------------------------------------+-------------------------------------+
50 rows in set (0.900 sec)
