ΚΩΔΙΚΟΣ_ΒΑΡΔΙΑΣ,ΤΥΠΟΣ,ΗΜΕΡΟΜΗΝΙΑ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
SHF_00082,Πρωινή,2025-01-02,ΩΡΛ
SHF_00083,Απογευματινή,2025-01-02,ΩΡΛ
SHF_00084,Νυχτερινή,2025-01-02,ΩΡΛ
SHF_00085,Πρωινή,2025-01-02,Γαστρεντερολογία
SHF_00086,Απογευματινή,2025-01-02,Γαστρεντερολογία
SHF_00087,Νυχτερινή,2025-01-02,Γαστρεντερολογία
SHF_00088,Πρωινή,2025-01-02,Ενδοκρινολογία
SHF_00089,Απογευματινή,2025-01-02,Ενδοκρινολογία
SHF_00090,Νυχτερινή,2025-01-02,Ενδοκρινολογία
SHF_00091,Πρωινή,2025-01-03,Καρδιολογία
SHF_00092,Απογευματινή,2025-01-03,Καρδιολογία
SHF_00093,Νυχτερινή,2025-01-03,Καρδιολογία
SHF_00094,Πρωινή,2025-01-03,Χειρουργική
SHF_00095,Απογευματινή,2025-01-03,Χειρουργική
SHF_00096,Νυχτερινή,2025-01-03,Χειρουργική
SHF_00097,Πρωινή,2025-01-03,ΜΕΘ
SHF_00098,Απογευματινή,2025-01-03,ΜΕΘ
SHF_00099,Νυχτερινή,2025-01-03,ΜΕΘ
SHF_00100,Πρωινή,2025-01-03,Επείγοντα
SHF_00101,Απογευματινή,2025-01-03,Επείγοντα
SHF_00102,Νυχτερινή,2025-01-03,Επείγοντα
SHF_00103,Πρωινή,2025-01-03,Ορθοπεδική
SHF_00104,Απογευματινή,2025-01-03,Ορθοπεδική
SHF_00105,Νυχτερινή,2025-01-03,Ορθοπεδική
SHF_00106,Πρωινή,2025-01-03,Παιδιατρική
SHF_00107,Απογευματινή,2025-01-03,Παιδιατρική
SHF_00108,Νυχτερινή,2025-01-03,Παιδιατρική
SHF_00109,Πρωινή,2025-01-03,Γυναικολογία
SHF_00110,Απογευματινή,2025-01-03,Γυναικολογία
SHF_00111,Νυχτερινή,2025-01-03,Γυναικολογία
SHF_00112,Πρωινή,2025-01-03,Νευρολογία
SHF_00113,Απογευματινή,2025-01-03,Νευρολογία
SHF_00114,Νυχτερινή,2025-01-03,Νευρολογία
SHF_00115,Πρωινή,2025-01-03,Ογκολογία
SHF_00116,Απογευματινή,2025-01-03,Ογκολογία
SHF_00117,Νυχτερινή,2025-01-03,Ογκολογία
SHF_00118,Πρωινή,2025-01-03,Πνευμονολογία
SHF_00119,Απογευματινή,2025-01-03,Πνευμονολογία
SHF_00120,Νυχτερινή,2025-01-03,Πνευμονολογία
SHF_00121,Πρωινή,2025-01-03,Ουρολογία
SHF_00122,Απογευματινή,2025-01-03,Ουρολογία
SHF_00123,Νυχτερινή,2025-01-03,Ουρολογία
SHF_00124,Πρωινή,2025-01-03,Οφθαλμολογία
SHF_00125,Απογευματινή,2025-01-03,Οφθαλμολογία
SHF_00126,Νυχτερινή,2025-01-03,Οφθαλμολογία
SHF_00127,Πρωινή,2025-01-03,ΩΡΛ
SHF_00128,Απογευματινή,2025-01-03,ΩΡΛ
SHF_00129,Νυχτερινή,2025-01-03,ΩΡΛ
SHF_00130,Πρωινή,2025-01-03,Γαστρεντερολογία
SHF_00131,Απογευματινή,2025-01-03,Γαστρεντερολογία
SHF_00132,Νυχτερινή,2025-01-03,Γαστρεντερολογία
SHF_00133,Πρωινή,2025-01-03,Ενδοκρινολογία
SHF_00134,Απογευματινή,2025-01-03,Ενδοκρινολογία
SHF_00135,Νυχτερινή,2025-01-03,Ενδοκρινολογία
SHF_00136,Πρωινή,2025-01-04,Καρδιολογία
SHF_00137,Απογευματινή,2025-01-04,Καρδιολογία
SHF_00138,Νυχτερινή,2025-01-04,Καρδιολογία
SHF_00139,Πρωινή,2025-01-04,Χειρουργική
SHF_00140,Απογευματινή,2025-01-04,Χειρουργική
SHF_00141,Νυχτερινή,2025-01-04,Χειρουργική
SHF_00142,Πρωινή,2025-01-04,ΜΕΘ
SHF_00143,Απογευματινή,2025-01-04,ΜΕΘ
SHF_00144,Νυχτερινή,2025-01-04,ΜΕΘ
SHF_00145,Πρωινή,2025-01-04,Επείγοντα
SHF_00146,Απογευματινή,2025-01-04,Επείγοντα
SHF_00147,Νυχτερινή,2025-01-04,Επείγοντα
SHF_00148,Πρωινή,2025-01-04,Ορθοπεδική
SHF_00149,Απογευματινή,2025-01-04,Ορθοπεδική
SHF_00150,Νυχτερινή,2025-01-04,Ορθοπεδική
SHF_00151,Πρωινή,2025-01-04,Παιδιατρική
SHF_00152,Απογευματινή,2025-01-04,Παιδιατρική
SHF_00153,Νυχτερινή,2025-01-04,Παιδιατρική
SHF_00154,Πρωινή,2025-01-04,Γυναικολογία
SHF_00155,Απογευματινή,2025-01-04,Γυναικολογία
SHF_00156,Νυχτερινή,2025-01-04,Γυναικολογία
SHF_00157,Πρωινή,2025-01-04,Νευρολογία
SHF_00158,Απογευματινή,2025-01-04,Νευρολογία
SHF_00159,Νυχτερινή,2025-01-04,Νευρολογία
SHF_00160,Πρωινή,2025-01-04,Ογκολογία
SHF_00161,Απογευματινή,2025-01-04,Ογκολογία
SHF_00162,Νυχτερινή,2025-01-04,Ογκολογία
SHF_00163,Πρωινή,2025-01-04,Πνευμονολογία
SHF_00164,Απογευματινή,2025-01-04,Πνευμονολογία
SHF_00165,Νυχτερινή,2025-01-04,Πνευμονολογία
SHF_00166,Πρωινή,2025-01-04,Ουρολογία
SHF_00167,Απογευματινή,2025-01-04,Ουρολογία
SHF_00168,Νυχτερινή,2025-01-04,Ουρολογία
SHF_00169,Πρωινή,2025-01-04,Οφθαλμολογία
SHF_00170,Απογευματινή,2025-01-04,Οφθαλμολογία
SHF_00171,Νυχτερινή,2025-01-04,Οφθαλμολογία
SHF_00172,Πρωινή,2025-01-04,ΩΡΛ
SHF_00173,Απογευματινή,2025-01-04,ΩΡΛ
SHF_00174,Νυχτερινή,2025-01-04,ΩΡΛ
SHF_00175,Πρωινή,2025-01-04,Γαστρεντερολογία
SHF_00176,Απογευματινή,2025-01-04,Γαστρεντερολογία
SHF_00177,Νυχτερινή,2025-01-04,Γαστρεντερολογία
SHF_00178,Πρωινή,2025-01-04,Ενδοκρινολογία
SHF_00179,Απογευματινή,2025-01-04,Ενδοκρινολογία
SHF_00180,Νυχτερινή,2025-01-04,Ενδοκρινολογία
SHF_00181,Πρωινή,2025-01-05,Καρδιολογία
SHF_00182,Απογευματινή,2025-01-05,Καρδιολογία
SHF_00183,Νυχτερινή,2025-01-05,Καρδιολογία
SHF_00184,Πρωινή,2025-01-05,Χειρουργική
SHF_00185,Απογευματινή,2025-01-05,Χειρουργική
SHF_00186,Νυχτερινή,2025-01-05,Χειρουργική
SHF_00187,Πρωινή,2025-01-05,ΜΕΘ
SHF_00188,Απογευματινή,2025-01-05,ΜΕΘ
SHF_00189,Νυχτερινή,2025-01-05,ΜΕΘ
SHF_00190,Πρωινή,2025-01-05,Επείγοντα
SHF_00191,Απογευματινή,2025-01-05,Επείγοντα
SHF_00192,Νυχτερινή,2025-01-05,Επείγοντα
SHF_00193,Πρωινή,2025-01-05,Ορθοπεδική
SHF_00194,Απογευματινή,2025-01-05,Ορθοπεδική
SHF_00195,Νυχτερινή,2025-01-05,Ορθοπεδική
SHF_00196,Πρωινή,2025-01-05,Παιδιατρική
SHF_00197,Απογευματινή,2025-01-05,Παιδιατρική
SHF_00198,Νυχτερινή,2025-01-05,Παιδιατρική
SHF_00199,Πρωινή,2025-01-05,Γυναικολογία
SHF_00200,Απογευματινή,2025-01-05,Γυναικολογία
SHF_00201,Νυχτερινή,2025-01-05,Γυναικολογία
SHF_00202,Πρωινή,2025-01-05,Νευρολογία
SHF_00203,Απογευματινή,2025-01-05,Νευρολογία
SHF_00204,Νυχτερινή,2025-01-05,Νευρολογία
SHF_00205,Πρωινή,2025-01-05,Ογκολογία
SHF_00206,Απογευματινή,2025-01-05,Ογκολογία
SHF_00207,Νυχτερινή,2025-01-05,Ογκολογία
SHF_00208,Πρωινή,2025-01-05,Πνευμονολογία
SHF_00209,Απογευματινή,2025-01-05,Πνευμονολογία
SHF_00210,Νυχτερινή,2025-01-05,Πνευμονολογία
SHF_00211,Πρωινή,2025-01-05,Ουρολογία
SHF_00212,Απογευματινή,2025-01-05,Ουρολογία
SHF_00213,Νυχτερινή,2025-01-05,Ουρολογία
SHF_00214,Πρωινή,2025-01-05,Οφθαλμολογία
SHF_00215,Απογευματινή,2025-01-05,Οφθαλμολογία
SHF_00216,Νυχτερινή,2025-01-05,Οφθαλμολογία
SHF_00217,Πρωινή,2025-01-05,ΩΡΛ
SHF_00218,Απογευματινή,2025-01-05,ΩΡΛ
SHF_00219,Νυχτερινή,2025-01-05,ΩΡΛ
SHF_00220,Πρωινή,2025-01-05,Γαστρεντερολογία
SHF_00221,Απογευματινή,2025-01-05,Γαστρεντερολογία
SHF_00222,Νυχτερινή,2025-01-05,Γαστρεντερολογία
SHF_00223,Πρωινή,2025-01-05,Ενδοκρινολογία
SHF_00224,Απογευματινή,2025-01-05,Ενδοκρινολογία
SHF_00225,Νυχτερινή,2025-01-05,Ενδοκρινολογία
SHF_00226,Πρωινή,2025-01-06,Καρδιολογία
SHF_00227,Απογευματινή,2025-01-06,Καρδιολογία
SHF_00228,Νυχτερινή,2025-01-06,Καρδιολογία
SHF_00229,Πρωινή,2025-01-06,Χειρουργική
SHF_00230,Απογευματινή,2025-01-06,Χειρουργική
SHF_00231,Νυχτερινή,2025-01-06,Χειρουργική
SHF_00232,Πρωινή,2025-01-06,ΜΕΘ
SHF_00233,Απογευματινή,2025-01-06,ΜΕΘ
SHF_00234,Νυχτερινή,2025-01-06,ΜΕΘ
SHF_00235,Πρωινή,2025-01-06,Επείγοντα
SHF_00236,Απογευματινή,2025-01-06,Επείγοντα
SHF_00237,Νυχτερινή,2025-01-06,Επείγοντα
SHF_00238,Πρωινή,2025-01-06,Ορθοπεδική
SHF_00239,Απογευματινή,2025-01-06,Ορθοπεδική
SHF_00240,Νυχτερινή,2025-01-06,Ορθοπεδική
SHF_00241,Πρωινή,2025-01-06,Παιδιατρική
SHF_00242,Απογευματινή,2025-01-06,Παιδιατρική
SHF_00243,Νυχτερινή,2025-01-06,Παιδιατρική
SHF_00244,Πρωινή,2025-01-06,Γυναικολογία
SHF_00245,Απογευματινή,2025-01-06,Γυναικολογία
SHF_00246,Νυχτερινή,2025-01-06,Γυναικολογία
SHF_00247,Πρωινή,2025-01-06,Νευρολογία
SHF_00248,Απογευματινή,2025-01-06,Νευρολογία
SHF_00249,Νυχτερινή,2025-01-06,Νευρολογία
SHF_00250,Πρωινή,2025-01-06,Ογκολογία
SHF_00251,Απογευματινή,2025-01-06,Ογκολογία
SHF_00252,Νυχτερινή,2025-01-06,Ογκολογία
SHF_00253,Πρωινή,2025-01-06,Πνευμονολογία
SHF_00254,Απογευματινή,2025-01-06,Πνευμονολογία
SHF_00255,Νυχτερινή,2025-01-06,Πνευμονολογία
SHF_00256,Πρωινή,2025-01-06,Ουρολογία
SHF_00257,Απογευματινή,2025-01-06,Ουρολογία
SHF_00258,Νυχτερινή,2025-01-06,Ουρολογία
SHF_00259,Πρωινή,2025-01-06,Οφθαλμολογία
SHF_00260,Απογευματινή,2025-01-06,Οφθαλμολογία
SHF_00261,Νυχτερινή,2025-01-06,Οφθαλμολογία
SHF_00262,Πρωινή,2025-01-06,ΩΡΛ
SHF_00263,Απογευματινή,2025-01-06,ΩΡΛ
SHF_00264,Νυχτερινή,2025-01-06,ΩΡΛ
SHF_00265,Πρωινή,2025-01-06,Γαστρεντερολογία
SHF_00266,Απογευματινή,2025-01-06,Γαστρεντερολογία
SHF_00267,Νυχτερινή,2025-01-06,Γαστρεντερολογία
SHF_00268,Πρωινή,2025-01-06,Ενδοκρινολογία
SHF_00269,Απογευματινή,2025-01-06,Ενδοκρινολογία
SHF_00270,Νυχτερινή,2025-01-06,Ενδοκρινολογία
SHF_00271,Πρωινή,2025-01-07,Καρδιολογία
SHF_00272,Απογευματινή,2025-01-07,Καρδιολογία
SHF_00273,Νυχτερινή,2025-01-07,Καρδιολογία
SHF_00274,Πρωινή,2025-01-07,Χειρουργική
SHF_00275,Απογευματινή,2025-01-07,Χειρουργική
SHF_00276,Νυχτερινή,2025-01-07,Χειρουργική
SHF_00277,Πρωινή,2025-01-07,ΜΕΘ
SHF_00278,Απογευματινή,2025-01-07,ΜΕΘ
SHF_00279,Νυχτερινή,2025-01-07,ΜΕΘ
SHF_00280,Πρωινή,2025-01-07,Επείγοντα
SHF_00281,Απογευματινή,2025-01-07,Επείγοντα
SHF_00282,Νυχτερινή,2025-01-07,Επείγοντα
SHF_00283,Πρωινή,2025-01-07,Ορθοπεδική
SHF_00284,Απογευματινή,2025-01-07,Ορθοπεδική
SHF_00285,Νυχτερινή,2025-01-07,Ορθοπεδική
SHF_00286,Πρωινή,2025-01-07,Παιδιατρική
SHF_00287,Απογευματινή,2025-01-07,Παιδιατρική
SHF_00288,Νυχτερινή,2025-01-07,Παιδιατρική
SHF_00289,Πρωινή,2025-01-07,Γυναικολογία
SHF_00290,Απογευματινή,2025-01-07,Γυναικολογία
SHF_00291,Νυχτερινή,2025-01-07,Γυναικολογία
SHF_00292,Πρωινή,2025-01-07,Νευρολογία
SHF_00293,Απογευματινή,2025-01-07,Νευρολογία
SHF_00294,Νυχτερινή,2025-01-07,Νευρολογία
SHF_00295,Πρωινή,2025-01-07,Ογκολογία
SHF_00296,Απογευματινή,2025-01-07,Ογκολογία
SHF_00297,Νυχτερινή,2025-01-07,Ογκολογία
SHF_00298,Πρωινή,2025-01-07,Πνευμονολογία
SHF_00299,Απογευματινή,2025-01-07,Πνευμονολογία
SHF_00300,Νυχτερινή,2025-01-07,Πνευμονολογία
SHF_00301,Πρωινή,2025-01-07,Ουρολογία
SHF_00302,Απογευματινή,2025-01-07,Ουρολογία
SHF_00303,Νυχτερινή,2025-01-07,Ουρολογία
SHF_00304,Πρωινή,2025-01-07,Οφθαλμολογία
SHF_00305,Απογευματινή,2025-01-07,Οφθαλμολογία
SHF_00306,Νυχτερινή,2025-01-07,Οφθαλμολογία
SHF_00307,Πρωινή,2025-01-07,ΩΡΛ
SHF_00308,Απογευματινή,2025-01-07,ΩΡΛ
SHF_00309,Νυχτερινή,2025-01-07,ΩΡΛ
SHF_00310,Πρωινή,2025-01-07,Γαστρεντερολογία
SHF_00311,Απογευματινή,2025-01-07,Γαστρεντερολογία
SHF_00312,Νυχτερινή,2025-01-07,Γαστρεντερολογία
SHF_00313,Πρωινή,2025-01-07,Ενδοκρινολογία
SHF_00314,Απογευματινή,2025-01-07,Ενδοκρινολογία
SHF_00315,Νυχτερινή,2025-01-07,Ενδοκρινολογία
SHF_00316,Πρωινή,2025-01-08,Καρδιολογία
SHF_00317,Απογευματινή,2025-01-08,Καρδιολογία
SHF_00318,Νυχτερινή,2025-01-08,Καρδιολογία
SHF_00319,Πρωινή,2025-01-08,Χειρουργική
SHF_00320,Απογευματινή,2025-01-08,Χειρουργική
SHF_00321,Νυχτερινή,2025-01-08,Χειρουργική
SHF_00322,Πρωινή,2025-01-08,ΜΕΘ
SHF_00323,Απογευματινή,2025-01-08,ΜΕΘ
SHF_00324,Νυχτερινή,2025-01-08,ΜΕΘ
SHF_00325,Πρωινή,2025-01-08,Επείγοντα
SHF_00326,Απογευματινή,2025-01-08,Επείγοντα
SHF_00327,Νυχτερινή,2025-01-08,Επείγοντα
SHF_00328,Πρωινή,2025-01-08,Ορθοπεδική
SHF_00329,Απογευματινή,2025-01-08,Ορθοπεδική
SHF_00330,Νυχτερινή,2025-01-08,Ορθοπεδική
SHF_00331,Πρωινή,2025-01-08,Παιδιατρική
SHF_00332,Απογευματινή,2025-01-08,Παιδιατρική
SHF_00333,Νυχτερινή,2025-01-08,Παιδιατρική
SHF_00334,Πρωινή,2025-01-08,Γυναικολογία
SHF_00335,Απογευματινή,2025-01-08,Γυναικολογία
SHF_00336,Νυχτερινή,2025-01-08,Γυναικολογία
SHF_00337,Πρωινή,2025-01-08,Νευρολογία
SHF_00338,Απογευματινή,2025-01-08,Νευρολογία
SHF_00339,Νυχτερινή,2025-01-08,Νευρολογία
SHF_00340,Πρωινή,2025-01-08,Ογκολογία
SHF_00341,Απογευματινή,2025-01-08,Ογκολογία
SHF_00342,Νυχτερινή,2025-01-08,Ογκολογία
SHF_00343,Πρωινή,2025-01-08,Πνευμονολογία
SHF_00344,Απογευματινή,2025-01-08,Πνευμονολογία
SHF_00345,Νυχτερινή,2025-01-08,Πνευμονολογία
SHF_00346,Πρωινή,2025-01-08,Ουρολογία
SHF_00347,Απογευματινή,2025-01-08,Ουρολογία
SHF_00348,Νυχτερινή,2025-01-08,Ουρολογία
SHF_00349,Πρωινή,2025-01-08,Οφθαλμολογία
SHF_00350,Απογευματινή,2025-01-08,Οφθαλμολογία
SHF_00351,Νυχτερινή,2025-01-08,Οφθαλμολογία
SHF_00352,Πρωινή,2025-01-08,ΩΡΛ
SHF_00353,Απογευματινή,2025-01-08,ΩΡΛ
SHF_00354,Νυχτερινή,2025-01-08,ΩΡΛ
SHF_00355,Πρωινή,2025-01-08,Γαστρεντερολογία
SHF_00356,Απογευματινή,2025-01-08,Γαστρεντερολογία
SHF_00357,Νυχτερινή,2025-01-08,Γαστρεντερολογία
SHF_00358,Πρωινή,2025-01-08,Ενδοκρινολογία
SHF_00359,Απογευματινή,2025-01-08,Ενδοκρινολογία
SHF_00360,Νυχτερινή,2025-01-08,Ενδοκρινολογία
SHF_00361,Πρωινή,2025-01-09,Καρδιολογία
SHF_00362,Απογευματινή,2025-01-09,Καρδιολογία
SHF_00363,Νυχτερινή,2025-01-09,Καρδιολογία
SHF_00364,Πρωινή,2025-01-09,Χειρουργική
SHF_00365,Απογευματινή,2025-01-09,Χειρουργική
SHF_00366,Νυχτερινή,2025-01-09,Χειρουργική
SHF_00367,Πρωινή,2025-01-09,ΜΕΘ
SHF_00368,Απογευματινή,2025-01-09,ΜΕΘ
SHF_00369,Νυχτερινή,2025-01-09,ΜΕΘ
SHF_00370,Πρωινή,2025-01-09,Επείγοντα
SHF_00371,Απογευματινή,2025-01-09,Επείγοντα
SHF_00372,Νυχτερινή,2025-01-09,Επείγοντα
SHF_00373,Πρωινή,2025-01-09,Ορθοπεδική
SHF_00374,Απογευματινή,2025-01-09,Ορθοπεδική
SHF_00375,Νυχτερινή,2025-01-09,Ορθοπεδική
SHF_00376,Πρωινή,2025-01-09,Παιδιατρική
SHF_00377,Απογευματινή,2025-01-09,Παιδιατρική
SHF_00378,Νυχτερινή,2025-01-09,Παιδιατρική
SHF_00379,Πρωινή,2025-01-09,Γυναικολογία
SHF_00380,Απογευματινή,2025-01-09,Γυναικολογία
SHF_00381,Νυχτερινή,2025-01-09,Γυναικολογία
SHF_00382,Πρωινή,2025-01-09,Νευρολογία
SHF_00383,Απογευματινή,2025-01-09,Νευρολογία
SHF_00384,Νυχτερινή,2025-01-09,Νευρολογία
SHF_00385,Πρωινή,2025-01-09,Ογκολογία
SHF_00386,Απογευματινή,2025-01-09,Ογκολογία
SHF_00387,Νυχτερινή,2025-01-09,Ογκολογία
SHF_00388,Πρωινή,2025-01-09,Πνευμονολογία
SHF_00389,Απογευματινή,2025-01-09,Πνευμονολογία
SHF_00390,Νυχτερινή,2025-01-09,Πνευμονολογία
SHF_00391,Πρωινή,2025-01-09,Ουρολογία
SHF_00392,Απογευματινή,2025-01-09,Ουρολογία
SHF_00393,Νυχτερινή,2025-01-09,Ουρολογία
SHF_00394,Πρωινή,2025-01-09,Οφθαλμολογία
SHF_00395,Απογευματινή,2025-01-09,Οφθαλμολογία
SHF_00396,Νυχτερινή,2025-01-09,Οφθαλμολογία
SHF_00397,Πρωινή,2025-01-09,ΩΡΛ
SHF_00398,Απογευματινή,2025-01-09,ΩΡΛ
SHF_00399,Νυχτερινή,2025-01-09,ΩΡΛ
SHF_00400,Πρωινή,2025-01-09,Γαστρεντερολογία
SHF_00401,Απογευματινή,2025-01-09,Γαστρεντερολογία
SHF_00402,Νυχτερινή,2025-01-09,Γαστρεντερολογία
SHF_00403,Πρωινή,2025-01-09,Ενδοκρινολογία
SHF_00404,Απογευματινή,2025-01-09,Ενδοκρινολογία
SHF_00405,Νυχτερινή,2025-01-09,Ενδοκρινολογία
SHF_00406,Πρωινή,2025-01-10,Καρδιολογία
SHF_00407,Απογευματινή,2025-01-10,Καρδιολογία
SHF_00408,Νυχτερινή,2025-01-10,Καρδιολογία
SHF_00409,Πρωινή,2025-01-10,Χειρουργική
SHF_00410,Απογευματινή,2025-01-10,Χειρουργική
SHF_00411,Νυχτερινή,2025-01-10,Χειρουργική
SHF_00412,Πρωινή,2025-01-10,ΜΕΘ
SHF_00413,Απογευματινή,2025-01-10,ΜΕΘ
SHF_00414,Νυχτερινή,2025-01-10,ΜΕΘ
SHF_00415,Πρωινή,2025-01-10,Επείγοντα
SHF_00416,Απογευματινή,2025-01-10,Επείγοντα
SHF_00417,Νυχτερινή,2025-01-10,Επείγοντα
SHF_00418,Πρωινή,2025-01-10,Ορθοπεδική
SHF_00419,Απογευματινή,2025-01-10,Ορθοπεδική
SHF_00420,Νυχτερινή,2025-01-10,Ορθοπεδική
SHF_00421,Πρωινή,2025-01-10,Παιδιατρική
SHF_00422,Απογευματινή,2025-01-10,Παιδιατρική
SHF_00423,Νυχτερινή,2025-01-10,Παιδιατρική
SHF_00424,Πρωινή,2025-01-10,Γυναικολογία
SHF_00425,Απογευματινή,2025-01-10,Γυναικολογία
SHF_00426,Νυχτερινή,2025-01-10,Γυναικολογία
SHF_00427,Πρωινή,2025-01-10,Νευρολογία
SHF_00428,Απογευματινή,2025-01-10,Νευρολογία
SHF_00429,Νυχτερινή,2025-01-10,Νευρολογία
SHF_00430,Πρωινή,2025-01-10,Ογκολογία
SHF_00431,Απογευματινή,2025-01-10,Ογκολογία
SHF_00432,Νυχτερινή,2025-01-10,Ογκολογία
SHF_00433,Πρωινή,2025-01-10,Πνευμονολογία
SHF_00434,Απογευματινή,2025-01-10,Πνευμονολογία
SHF_00435,Νυχτερινή,2025-01-10,Πνευμονολογία
SHF_00436,Πρωινή,2025-01-10,Ουρολογία
SHF_00437,Απογευματινή,2025-01-10,Ουρολογία
SHF_00438,Νυχτερινή,2025-01-10,Ουρολογία
SHF_00439,Πρωινή,2025-01-10,Οφθαλμολογία
SHF_00440,Απογευματινή,2025-01-10,Οφθαλμολογία
