ΚΩΔΙΚΟΣ_ΕΞΕΤΑΣΗΣ,ΤΥΠΟΣ,ΚΟΣΤΟΣ
EXM_00059,Γενική Αίματος,101.37
EXM_00060,Χοληστερίνη,156.22
EXM_00061,Χοληστερίνη,16.54
EXM_00062,Κρεατινίνη,120.02
EXM_00063,Ακτινογραφία Θώρακος,104.22
EXM_00064,Ουρία,43.38
EXM_00065,Υπέρηχος Κοιλίας,247.51
EXM_00066,Σάκχαρο Αίματος,191.47
EXM_00067,Ακτινογραφία Θώρακος,232.78
EXM_00068,Μαγνητική Τομογραφία (MRI),137.45
EXM_00069,Υπέρηχος Κοιλίας,182.22
EXM_00070,Μαγνητική Τομογραφία (MRI),38.05
EXM_00071,Ηλεκτροκαρδιογράφημα (ΗΚΓ),94.79
EXM_00072,Ηλεκτροκαρδιογράφημα (ΗΚΓ),227.92
EXM_00073,Μαγνητική Τομογραφία (MRI),24.01
EXM_00074,PCR COVID-19,223.35
EXM_00075,Κρεατινίνη,77.65
EXM_00076,Γενική Αίματος,190.92
EXM_00077,Ηλεκτροκαρδιογράφημα (ΗΚΓ),95.54
EXM_00078,Ακτινογραφία Θώρακος,87.23
EXM_00079,Σάκχαρο Αίματος,42.8
EXM_00080,Χοληστερίνη,217.18
EXM_00081,Ακτινογραφία Θώρακος,191.01
EXM_00082,Ηλεκτροκαρδιογράφημα (ΗΚΓ),171.02
EXM_00083,Ακτινογραφία Θώρακος,179.26
EXM_00084,Υπέρηχος Κοιλίας,107.48
EXM_00085,Σάκχαρο Αίματος,176.26
EXM_00086,Υπέρηχος Κοιλίας,231.47
EXM_00087,Μαγνητική Τομογραφία (MRI),18.05
EXM_00088,PCR COVID-19,220.55
EXM_00089,Σάκχαρο Αίματος,217.8
EXM_00090,Σάκχαρο Αίματος,182.13
EXM_00091,Υπέρηχος Κοιλίας,228.91
EXM_00092,Χοληστερίνη,190.12
EXM_00093,Μαγνητική Τομογραφία (MRI),91.45
EXM_00094,Ουρία,246.29
EXM_00095,Κρεατινίνη,188.54
EXM_00096,Ηλεκτροκαρδιογράφημα (ΗΚΓ),18.04
EXM_00097,Κρεατινίνη,95.93
EXM_00098,Γενική Αίματος,191.83
EXM_00099,Ηλεκτροκαρδιογράφημα (ΗΚΓ),208.4
EXM_00100,Ακτινογραφία Θώρακος,84.32
EXM_00101,Σάκχαρο Αίματος,94.43
EXM_00102,Υπέρηχος Κοιλίας,75.85
EXM_00103,PCR COVID-19,19.85
EXM_00104,Γενική Αίματος,205.81
EXM_00105,Υπέρηχος Κοιλίας,146.72
EXM_00106,Υπέρηχος Κοιλίας,80.06
EXM_00107,Κρεατινίνη,213.81
EXM_00108,Γενική Αίματος,92.93
EXM_00109,Ηλεκτροκαρδιογράφημα (ΗΚΓ),195.93
EXM_00110,Ηλεκτροκαρδιογράφημα (ΗΚΓ),71.19
EXM_00111,Ηλεκτροκαρδιογράφημα (ΗΚΓ),46.74
EXM_00112,Γενική Αίματος,237.4
EXM_00113,Υπέρηχος Κοιλίας,108.91
EXM_00114,Ηλεκτροκαρδιογράφημα (ΗΚΓ),115.98
EXM_00115,Γενική Αίματος,147.27
EXM_00116,Ηλεκτροκαρδιογράφημα (ΗΚΓ),136.43
EXM_00117,PCR COVID-19,144.55
EXM_00118,Υπέρηχος Κοιλίας,127.89
EXM_00119,Σάκχαρο Αίματος,206.16
EXM_00120,Υπέρηχος Κοιλίας,25.8
EXM_00121,Ηλεκτροκαρδιογράφημα (ΗΚΓ),170.01
EXM_00122,Χοληστερίνη,105.86
EXM_00123,Ακτινογραφία Θώρακος,51.86
EXM_00124,Γενική Αίματος,86.43
EXM_00125,Υπέρηχος Κοιλίας,133.92
EXM_00126,Υπέρηχος Κοιλίας,224.35
EXM_00127,PCR COVID-19,36.69
EXM_00128,Ηλεκτροκαρδιογράφημα (ΗΚΓ),242.34
EXM_00129,Ηλεκτροκαρδιογράφημα (ΗΚΓ),85.17
EXM_00130,Χοληστερίνη,232.76
EXM_00131,PCR COVID-19,236.84
EXM_00132,Κρεατινίνη,168.19
EXM_00133,PCR COVID-19,103.44
EXM_00134,Μαγνητική Τομογραφία (MRI),45.14
EXM_00135,Υπέρηχος Κοιλίας,57.79
EXM_00136,Κρεατινίνη,36.59
EXM_00137,Κρεατινίνη,216.31
EXM_00138,Σάκχαρο Αίματος,186.51
EXM_00139,Υπέρηχος Κοιλίας,63.13
EXM_00140,Ηλεκτροκαρδιογράφημα (ΗΚΓ),19.43
EXM_00141,Χοληστερίνη,93.09
EXM_00142,Ακτινογραφία Θώρακος,17.48
EXM_00143,Υπέρηχος Κοιλίας,228.37
EXM_00144,PCR COVID-19,231.05
EXM_00145,Υπέρηχος Κοιλίας,25.17
EXM_00146,Χοληστερίνη,22.0
EXM_00147,PCR COVID-19,40.71
EXM_00148,Υπέρηχος Κοιλίας,22.85
EXM_00149,Γενική Αίματος,76.08
EXM_00150,Γενική Αίματος,139.01
EXM_00151,PCR COVID-19,206.14
EXM_00152,Γενική Αίματος,96.96
EXM_00153,Υπέρηχος Κοιλίας,192.46
EXM_00154,Ουρία,63.36
EXM_00155,Γενική Αίματος,216.85
EXM_00156,Ακτινογραφία Θώρακος,235.34
EXM_00157,Μαγνητική Τομογραφία (MRI),141.58
EXM_00158,Γενική Αίματος,103.03
EXM_00159,Γενική Αίματος,33.42
EXM_00160,Υπέρηχος Κοιλίας,229.92
EXM_00161,Μαγνητική Τομογραφία (MRI),106.22
EXM_00162,Σάκχαρο Αίματος,153.3
EXM_00163,Χοληστερίνη,214.03
EXM_00164,Χοληστερίνη,90.54
EXM_00165,Ακτινογραφία Θώρακος,181.58
EXM_00166,Γενική Αίματος,36.2
EXM_00167,Χοληστερίνη,196.2
EXM_00168,Μαγνητική Τομογραφία (MRI),71.11
EXM_00169,Χοληστερίνη,134.84
EXM_00170,Ακτινογραφία Θώρακος,41.84
EXM_00171,Ακτινογραφία Θώρακος,187.72
EXM_00172,Μαγνητική Τομογραφία (MRI),55.3
EXM_00173,Κρεατινίνη,238.82
EXM_00174,Κρεατινίνη,48.78
EXM_00175,Ουρία,31.51
EXM_00176,PCR COVID-19,119.21
EXM_00177,Χοληστερίνη,135.83
EXM_00178,Ακτινογραφία Θώρακος,114.11
EXM_00179,Ακτινογραφία Θώρακος,153.21
EXM_00180,Κρεατινίνη,123.3
EXM_00181,Κρεατινίνη,147.87
EXM_00182,Κρεατινίνη,84.58
EXM_00183,Ουρία,65.63
EXM_00184,Υπέρηχος Κοιλίας,16.32
EXM_00185,Ουρία,240.86
EXM_00186,Σάκχαρο Αίματος,77.09
EXM_00187,Χοληστερίνη,76.32
EXM_00188,Μαγνητική Τομογραφία (MRI),20.43
EXM_00189,PCR COVID-19,202.13
EXM_00190,Χοληστερίνη,224.28
EXM_00191,Μαγνητική Τομογραφία (MRI),165.56
EXM_00192,PCR COVID-19,29.47
EXM_00193,PCR COVID-19,166.3
EXM_00194,Σάκχαρο Αίματος,139.76
EXM_00195,Σάκχαρο Αίματος,164.02
EXM_00196,Ηλεκτροκαρδιογράφημα (ΗΚΓ),105.72
EXM_00197,Μαγνητική Τομογραφία (MRI),84.66
EXM_00198,Γενική Αίματος,185.76
EXM_00199,Κρεατινίνη,204.55
EXM_00200,Κρεατινίνη,64.64
EXM_00201,Ακτινογραφία Θώρακος,69.91
EXM_00202,Ουρία,62.88
EXM_00203,Σάκχαρο Αίματος,70.03
EXM_00204,PCR COVID-19,197.07
EXM_00205,Υπέρηχος Κοιλίας,38.6
EXM_00206,Ηλεκτροκαρδιογράφημα (ΗΚΓ),237.91
EXM_00207,Ακτινογραφία Θώρακος,220.15
EXM_00208,Ακτινογραφία Θώρακος,72.34
EXM_00209,Υπέρηχος Κοιλίας,43.08
EXM_00210,Υπέρηχος Κοιλίας,95.42
EXM_00211,Υπέρηχος Κοιλίας,120.94
EXM_00212,Ουρία,46.76
EXM_00213,Χοληστερίνη,84.36
EXM_00214,Υπέρηχος Κοιλίας,207.02
EXM_00215,Ηλεκτροκαρδιογράφημα (ΗΚΓ),141.83
EXM_00216,Ακτινογραφία Θώρακος,139.53
EXM_00217,Ουρία,58.41
EXM_00218,PCR COVID-19,158.81
EXM_00219,Υπέρηχος Κοιλίας,38.36
EXM_00220,Χοληστερίνη,228.23
EXM_00221,Υπέρηχος Κοιλίας,210.52
EXM_00222,Χοληστερίνη,160.31
EXM_00223,Γενική Αίματος,53.97
EXM_00224,Χοληστερίνη,95.08
EXM_00225,Γενική Αίματος,147.63
EXM_00226,Γενική Αίματος,209.87
EXM_00227,Μαγνητική Τομογραφία (MRI),191.29
EXM_00228,Ακτινογραφία Θώρακος,194.31
EXM_00229,Ακτινογραφία Θώρακος,92.92
EXM_00230,Σάκχαρο Αίματος,231.75
EXM_00231,Ακτινογραφία Θώρακος,233.43
EXM_00232,Μαγνητική Τομογραφία (MRI),154.89
EXM_00233,Γενική Αίματος,221.64
EXM_00234,Γενική Αίματος,117.85
EXM_00235,Χοληστερίνη,234.24
EXM_00236,Ουρία,17.27
EXM_00237,Υπέρηχος Κοιλίας,72.09
EXM_00238,Ακτινογραφία Θώρακος,101.02
EXM_00239,PCR COVID-19,90.69
EXM_00240,Ηλεκτροκαρδιογράφημα (ΗΚΓ),135.74
EXM_00241,Υπέρηχος Κοιλίας,242.7
EXM_00242,Γενική Αίματος,184.06
EXM_00243,Υπέρηχος Κοιλίας,211.85
EXM_00244,Ουρία,226.57
EXM_00245,Ουρία,109.93
EXM_00246,Κρεατινίνη,139.14
EXM_00247,Σάκχαρο Αίματος,198.71
EXM_00248,Υπέρηχος Κοιλίας,22.72
EXM_00249,Μαγνητική Τομογραφία (MRI),156.09
EXM_00250,Ηλεκτροκαρδιογράφημα (ΗΚΓ),135.25
EXM_00251,Κρεατινίνη,80.41
EXM_00252,Γενική Αίματος,226.34
EXM_00253,PCR COVID-19,116.78
EXM_00254,Ακτινογραφία Θώρακος,69.68
EXM_00255,Μαγνητική Τομογραφία (MRI),22.31
EXM_00256,Ουρία,45.61
EXM_00257,Ηλεκτροκαρδιογράφημα (ΗΚΓ),235.12
EXM_00258,Ηλεκτροκαρδιογράφημα (ΗΚΓ),133.52
EXM_00259,Υπέρηχος Κοιλίας,71.69
EXM_00260,Γενική Αίματος,118.51
EXM_00261,Κρεατινίνη,199.74
EXM_00262,Κρεατινίνη,131.29
EXM_00263,Σάκχαρο Αίματος,214.21
EXM_00264,Υπέρηχος Κοιλίας,124.74
EXM_00265,Υπέρηχος Κοιλίας,128.9
EXM_00266,Ουρία,141.9
EXM_00267,Ουρία,41.82
EXM_00268,Ουρία,179.08
EXM_00269,Χοληστερίνη,209.69
EXM_00270,Σάκχαρο Αίματος,129.69
EXM_00271,Χοληστερίνη,28.87
EXM_00272,Ηλεκτροκαρδιογράφημα (ΗΚΓ),56.56
EXM_00273,Ουρία,200.86
EXM_00274,Ουρία,23.92
EXM_00275,Ακτινογραφία Θώρακος,115.1
EXM_00276,Ακτινογραφία Θώρακος,181.5
EXM_00277,Σάκχαρο Αίματος,216.85
EXM_00278,Σάκχαρο Αίματος,48.37
EXM_00279,Ακτινογραφία Θώρακος,110.89
EXM_00280,Υπέρηχος Κοιλίας,146.3
EXM_00281,PCR COVID-19,97.46
EXM_00282,Μαγνητική Τομογραφία (MRI),194.84
EXM_00283,Μαγνητική Τομογραφία (MRI),220.75
EXM_00284,Ακτινογραφία Θώρακος,241.58
EXM_00285,Υπέρηχος Κοιλίας,249.16
EXM_00286,Υπέρηχος Κοιλίας,172.32
EXM_00287,Ακτινογραφία Θώρακος,100.31
EXM_00288,Ακτινογραφία Θώρακος,225.67
EXM_00289,Σάκχαρο Αίματος,213.63
EXM_00290,Ηλεκτροκαρδιογράφημα (ΗΚΓ),49.6
EXM_00291,Ηλεκτροκαρδιογράφημα (ΗΚΓ),204.15
EXM_00292,PCR COVID-19,166.73
EXM_00293,Χοληστερίνη,67.17
EXM_00294,Υπέρηχος Κοιλίας,131.69
EXM_00295,Χοληστερίνη,67.36
EXM_00296,Ακτινογραφία Θώρακος,186.55
EXM_00297,Χοληστερίνη,136.86
EXM_00298,Σάκχαρο Αίματος,207.91
EXM_00299,Γενική Αίματος,52.41
EXM_00300,Υπέρηχος Κοιλίας,24.91
EXM_00301,Σάκχαρο Αίματος,150.35
EXM_00302,PCR COVID-19,142.24
EXM_00303,Υπέρηχος Κοιλίας,164.92
EXM_00304,Ουρία,43.02
EXM_00305,Υπέρηχος Κοιλίας,120.99
EXM_00306,Ακτινογραφία Θώρακος,104.42
EXM_00307,Κρεατινίνη,193.14
EXM_00308,Σάκχαρο Αίματος,39.81
EXM_00309,Υπέρηχος Κοιλίας,225.15
EXM_00310,Μαγνητική Τομογραφία (MRI),112.78
EXM_00311,Μαγνητική Τομογραφία (MRI),48.15
EXM_00312,Ακτινογραφία Θώρακος,90.6
EXM_00313,Σάκχαρο Αίματος,92.46
EXM_00314,Ηλεκτροκαρδιογράφημα (ΗΚΓ),81.69
EXM_00315,Ακτινογραφία Θώρακος,240.44
EXM_00316,Ακτινογραφία Θώρακος,216.2
EXM_00317,Κρεατινίνη,186.48
EXM_00318,Υπέρηχος Κοιλίας,21.82
EXM_00319,Γενική Αίματος,177.58
EXM_00320,Ακτινογραφία Θώρακος,181.74
EXM_00321,Σάκχαρο Αίματος,161.94
EXM_00322,Ακτινογραφία Θώρακος,173.54
EXM_00323,Χοληστερίνη,68.82
EXM_00324,Μαγνητική Τομογραφία (MRI),212.94
EXM_00325,Σάκχαρο Αίματος,23.54
EXM_00326,Ηλεκτροκαρδιογράφημα (ΗΚΓ),208.93
EXM_00327,Υπέρηχος Κοιλίας,125.97
EXM_00328,Σάκχαρο Αίματος,148.65
EXM_00329,Χοληστερίνη,139.56
EXM_00330,Σάκχαρο Αίματος,207.35
EXM_00331,Ηλεκτροκαρδιογράφημα (ΗΚΓ),71.49
EXM_00332,Σάκχαρο Αίματος,60.7
EXM_00333,Ουρία,228.54
EXM_00334,PCR COVID-19,124.83
EXM_00335,Μαγνητική Τομογραφία (MRI),62.62
EXM_00336,PCR COVID-19,117.53
EXM_00337,Κρεατινίνη,20.36
EXM_00338,Υπέρηχος Κοιλίας,39.16
EXM_00339,PCR COVID-19,121.17
EXM_00340,PCR COVID-19,221.58
EXM_00341,Μαγνητική Τομογραφία (MRI),28.71
EXM_00342,Μαγνητική Τομογραφία (MRI),86.48
EXM_00343,Χοληστερίνη,19.82
EXM_00344,Γενική Αίματος,120.27
EXM_00345,Γενική Αίματος,227.37
EXM_00346,Γενική Αίματος,83.05
EXM_00347,PCR COVID-19,112.59
EXM_00348,PCR COVID-19,239.87
EXM_00349,PCR COVID-19,64.66
EXM_00350,Μαγνητική Τομογραφία (MRI),128.76
EXM_00351,Υπέρηχος Κοιλίας,141.91
EXM_00352,Ηλεκτροκαρδιογράφημα (ΗΚΓ),189.27
EXM_00353,Σάκχαρο Αίματος,155.96
EXM_00354,Σάκχαρο Αίματος,140.7
EXM_00355,PCR COVID-19,21.73
EXM_00356,Σάκχαρο Αίματος,156.65
EXM_00357,Κρεατινίνη,118.95
EXM_00358,Χοληστερίνη,196.75
EXM_00359,Υπέρηχος Κοιλίας,121.84
EXM_00360,Χοληστερίνη,91.73
EXM_00361,Χοληστερίνη,139.25
EXM_00362,Γενική Αίματος,180.67
EXM_00363,PCR COVID-19,33.55
EXM_00364,PCR COVID-19,221.78
EXM_00365,Υπέρηχος Κοιλίας,199.93
EXM_00366,Ακτινογραφία Θώρακος,57.29
EXM_00367,Χοληστερίνη,187.17
EXM_00368,Μαγνητική Τομογραφία (MRI),27.68
EXM_00369,Υπέρηχος Κοιλίας,75.66
EXM_00370,PCR COVID-19,164.82
EXM_00371,Ουρία,201.42
EXM_00372,Σάκχαρο Αίματος,177.12
EXM_00373,Ηλεκτροκαρδιογράφημα (ΗΚΓ),33.71
EXM_00374,Χοληστερίνη,72.29
EXM_00375,Μαγνητική Τομογραφία (MRI),128.26
EXM_00376,Ουρία,141.91
EXM_00377,Ακτινογραφία Θώρακος,66.72
EXM_00378,Ουρία,27.01
EXM_00379,PCR COVID-19,234.72
EXM_00380,Κρεατινίνη,135.66
EXM_00381,Ουρία,236.03
EXM_00382,Χοληστερίνη,165.57
EXM_00383,Γενική Αίματος,149.24
EXM_00384,Σάκχαρο Αίματος,141.17
EXM_00385,Υπέρηχος Κοιλίας,246.03
EXM_00386,Σάκχαρο Αίματος,222.13
EXM_00387,Υπέρηχος Κοιλίας,92.33
EXM_00388,PCR COVID-19,32.67
EXM_00389,Ουρία,26.76
EXM_00390,Μαγνητική Τομογραφία (MRI),237.6
EXM_00391,Κρεατινίνη,108.38
EXM_00392,Ηλεκτροκαρδιογράφημα (ΗΚΓ),33.95
EXM_00393,Χοληστερίνη,153.49
EXM_00394,Ηλεκτροκαρδιογράφημα (ΗΚΓ),124.94
EXM_00395,Χοληστερίνη,33.01
EXM_00396,Ακτινογραφία Θώρακος,227.6
EXM_00397,Ηλεκτροκαρδιογράφημα (ΗΚΓ),69.69
EXM_00398,Γενική Αίματος,228.13
EXM_00399,Σάκχαρο Αίματος,29.28
EXM_00400,Μαγνητική Τομογραφία (MRI),27.85
EXM_00401,Σάκχαρο Αίματος,93.03
EXM_00402,Ακτινογραφία Θώρακος,206.04
EXM_00403,Γενική Αίματος,245.45
EXM_00404,Ουρία,36.67
EXM_00405,Ακτινογραφία Θώρακος,188.94
EXM_00406,Ουρία,45.5
EXM_00407,Υπέρηχος Κοιλίας,54.3
EXM_00408,Υπέρηχος Κοιλίας,219.57
EXM_00409,Ουρία,132.17
EXM_00410,Μαγνητική Τομογραφία (MRI),26.05
EXM_00411,Σάκχαρο Αίματος,122.0
EXM_00412,Κρεατινίνη,207.27
EXM_00413,Μαγνητική Τομογραφία (MRI),227.25
EXM_00414,Υπέρηχος Κοιλίας,243.07
EXM_00415,Γενική Αίματος,193.41
EXM_00416,Μαγνητική Τομογραφία (MRI),182.03
EXM_00417,Γενική Αίματος,89.99
EXM_00418,Ακτινογραφία Θώρακος,33.1
EXM_00419,Υπέρηχος Κοιλίας,240.22
EXM_00420,Χοληστερίνη,223.7
EXM_00421,Υπέρηχος Κοιλίας,38.01
EXM_00422,Ουρία,224.29
EXM_00423,Γενική Αίματος,86.06
EXM_00424,Υπέρηχος Κοιλίας,136.77
EXM_00425,Χοληστερίνη,102.34
EXM_00426,Ηλεκτροκαρδιογράφημα (ΗΚΓ),164.54
EXM_00427,Ηλεκτροκαρδιογράφημα (ΗΚΓ),244.02
EXM_00428,Χοληστερίνη,213.01
EXM_00429,Σάκχαρο Αίματος,161.05
EXM_00430,Κρεατινίνη,147.39
EXM_00431,Σάκχαρο Αίματος,169.51
EXM_00432,Σάκχαρο Αίματος,142.46
EXM_00433,Ηλεκτροκαρδιογράφημα (ΗΚΓ),112.12
EXM_00434,Υπέρηχος Κοιλίας,126.93
EXM_00435,Ακτινογραφία Θώρακος,247.75
EXM_00436,Κρεατινίνη,142.98
EXM_00437,Μαγνητική Τομογραφία (MRI),84.65
EXM_00438,Μαγνητική Τομογραφία (MRI),173.61
EXM_00439,Ουρία,249.47
EXM_00440,Κρεατινίνη,119.47
EXM_00441,Χοληστερίνη,205.84
EXM_00442,Ακτινογραφία Θώρακος,101.51
EXM_00443,PCR COVID-19,172.26
EXM_00444,Ακτινογραφία Θώρακος,16.16
EXM_00445,Υπέρηχος Κοιλίας,62.66
EXM_00446,Γενική Αίματος,65.68
EXM_00447,PCR COVID-19,124.38
EXM_00448,Σάκχαρο Αίματος,239.91
EXM_00449,Ηλεκτροκαρδιογράφημα (ΗΚΓ),90.47
EXM_00450,Μαγνητική Τομογραφία (MRI),130.03
EXM_00451,Μαγνητική Τομογραφία (MRI),93.46
EXM_00452,Ουρία,208.01
EXM_00453,Ακτινογραφία Θώρακος,139.42
EXM_00454,Ηλεκτροκαρδιογράφημα (ΗΚΓ),139.57
EXM_00455,Κρεατινίνη,88.36
EXM_00456,Ηλεκτροκαρδιογράφημα (ΗΚΓ),159.64
EXM_00457,Ακτινογραφία Θώρακος,32.11
EXM_00458,Χοληστερίνη,192.95
EXM_00459,Μαγνητική Τομογραφία (MRI),157.17
EXM_00460,Υπέρηχος Κοιλίας,76.94
EXM_00461,Ουρία,157.49
EXM_00462,Γενική Αίματος,187.18
EXM_00463,Ουρία,193.79
EXM_00464,Γενική Αίματος,36.65
EXM_00465,Ηλεκτροκαρδιογράφημα (ΗΚΓ),148.69
EXM_00466,PCR COVID-19,243.84
EXM_00467,Σάκχαρο Αίματος,33.48
EXM_00468,Σάκχαρο Αίματος,165.92
EXM_00469,Υπέρηχος Κοιλίας,231.45
EXM_00470,PCR COVID-19,74.2
EXM_00471,Ουρία,229.22
EXM_00472,Ακτινογραφία Θώρακος,216.27
EXM_00473,PCR COVID-19,120.27
EXM_00474,Ουρία,217.55
EXM_00475,Ηλεκτροκαρδιογράφημα (ΗΚΓ),245.93
EXM_00476,Ακτινογραφία Θώρακος,158.74
EXM_00477,Ακτινογραφία Θώρακος,51.34
EXM_00478,Γενική Αίματος,81.08
EXM_00479,Ηλεκτροκαρδιογράφημα (ΗΚΓ),161.09
EXM_00480,Χοληστερίνη,93.29
EXM_00481,Υπέρηχος Κοιλίας,15.24
EXM_00482,Σάκχαρο Αίματος,244.8
EXM_00483,Μαγνητική Τομογραφία (MRI),70.18
EXM_00484,Ηλεκτροκαρδιογράφημα (ΗΚΓ),104.7
EXM_00485,Ακτινογραφία Θώρακος,58.48
EXM_00486,Μαγνητική Τομογραφία (MRI),54.52
EXM_00487,Ακτινογραφία Θώρακος,42.71
EXM_00488,Ουρία,179.12
EXM_00489,PCR COVID-19,185.49
EXM_00490,Χοληστερίνη,216.85
EXM_00491,Υπέρηχος Κοιλίας,134.4
EXM_00492,Ακτινογραφία Θώρακος,219.31
EXM_00493,Χοληστερίνη,187.49
EXM_00494,Γενική Αίματος,214.17
EXM_00495,Χοληστερίνη,74.68
EXM_00496,Κρεατινίνη,200.0
EXM_00497,Ακτινογραφία Θώρακος,214.98
EXM_00498,Χοληστερίνη,114.85
EXM_00499,Ακτινογραφία Θώρακος,169.97
EXM_00500,Χοληστερίνη,123.69
EXM_00501,Σάκχαρο Αίματος,189.22
EXM_00502,Σάκχαρο Αίματος,58.81
EXM_00503,Κρεατινίνη,103.31
EXM_00504,Υπέρηχος Κοιλίας,216.73
EXM_00505,PCR COVID-19,162.59
EXM_00506,Μαγνητική Τομογραφία (MRI),57.96
EXM_00507,Υπέρηχος Κοιλίας,17.88
EXM_00508,Ακτινογραφία Θώρακος,123.24
EXM_00509,Χοληστερίνη,25.81
EXM_00510,Ουρία,93.23
EXM_00511,Υπέρηχος Κοιλίας,209.14
EXM_00512,Ακτινογραφία Θώρακος,199.68
EXM_00513,Μαγνητική Τομογραφία (MRI),106.72
EXM_00514,Υπέρηχος Κοιλίας,163.31
EXM_00515,Ουρία,154.93
EXM_00516,Υπέρηχος Κοιλίας,130.79
EXM_00517,Κρεατινίνη,57.55
EXM_00518,Κρεατινίνη,148.91
EXM_00519,Σάκχαρο Αίματος,168.1
EXM_00520,Υπέρηχος Κοιλίας,161.23
EXM_00521,PCR COVID-19,68.27
EXM_00522,Ηλεκτροκαρδιογράφημα (ΗΚΓ),197.17
EXM_00523,Ουρία,36.77
EXM_00524,Χοληστερίνη,192.05
EXM_00525,Χοληστερίνη,149.83
EXM_00526,Ουρία,183.99
EXM_00527,Χοληστερίνη,149.42
EXM_00528,Ακτινογραφία Θώρακος,229.62
EXM_00529,Χοληστερίνη,219.13
EXM_00530,Κρεατινίνη,90.18
EXM_00531,Σάκχαρο Αίματος,72.46
EXM_00532,PCR COVID-19,63.12
EXM_00533,Ηλεκτροκαρδιογράφημα (ΗΚΓ),98.64
EXM_00534,Σάκχαρο Αίματος,239.73
EXM_00535,Γενική Αίματος,40.31
EXM_00536,Ηλεκτροκαρδιογράφημα (ΗΚΓ),112.93
EXM_00537,PCR COVID-19,205.81
EXM_00538,Μαγνητική Τομογραφία (MRI),103.24
EXM_00539,Μαγνητική Τομογραφία (MRI),111.51
EXM_00540,Υπέρηχος Κοιλίας,193.51
EXM_00541,Υπέρηχος Κοιλίας,182.41
EXM_00542,Υπέρηχος Κοιλίας,166.37
EXM_00543,Ακτινογραφία Θώρακος,86.39
EXM_00544,Υπέρηχος Κοιλίας,171.75
EXM_00545,Υπέρηχος Κοιλίας,216.23
EXM_00546,Ηλεκτροκαρδιογράφημα (ΗΚΓ),32.76
EXM_00547,Σάκχαρο Αίματος,203.23
EXM_00548,PCR COVID-19,31.71
EXM_00549,Κρεατινίνη,163.55
