ΜΟΝΑΔΙΚΟΣ_ΑΡΙΘΜΟΣ_ΚΛΙΝΗΣ,ΤΥΠΟΣ,ΚΑΤΑΣΤΑΣΗ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
79,Πολύκλινο,Διαθέσιμη,Επείγοντα
80,Μονόκλινο,Κατειλημμένη,Επείγοντα
81,Δίκλινο,Διαθέσιμη,Ορθοπεδική
82,Δίκλινο,Διαθέσιμη,Ορθοπεδική
83,ΜΕΘ,Διαθέσιμη,Ορθοπεδική
84,Μονόκλινο,Διαθέσιμη,Ορθοπεδική
85,ΜΕΘ,Διαθέσιμη,Ορθοπεδική
86,Μονόκλινο,Κατειλημμένη,Ορθοπεδική
87,Δίκλινο,Διαθέσιμη,Ορθοπεδική
88,Δίκλινο,Υπό Συντήρηση,Ορθοπεδική
89,Μονόκλινο,Υπό Συντήρηση,Ορθοπεδική
90,Μονόκλινο,Διαθέσιμη,Ορθοπεδική
91,ΜΕΘ,Διαθέσιμη,Ορθοπεδική
92,Πολύκλινο,Διαθέσιμη,Ορθοπεδική
93,Πολύκλινο,Κατειλημμένη,Ορθοπεδική
94,Μονόκλινο,Διαθέσιμη,Ορθοπεδική
95,ΜΕΘ,Υπό Συντήρηση,Ορθοπεδική
96,ΜΕΘ,Κατειλημμένη,Ορθοπεδική
97,ΜΕΘ,Κατειλημμένη,Ορθοπεδική
98,Μονόκλινο,Κατειλημμένη,Ορθοπεδική
99,Δίκλινο,Κατειλημμένη,Ορθοπεδική
100,Δίκλινο,Κατειλημμένη,Ορθοπεδική
101,Μονόκλινο,Κατειλημμένη,Παιδιατρική
102,ΜΕΘ,Διαθέσιμη,Παιδιατρική
103,Μονόκλινο,Κατειλημμένη,Παιδιατρική
104,Πολύκλινο,Κατειλημμένη,Παιδιατρική
105,Δίκλινο,Κατειλημμένη,Παιδιατρική
106,ΜΕΘ,Κατειλημμένη,Παιδιατρική
107,ΜΕΘ,Διαθέσιμη,Παιδιατρική
108,ΜΕΘ,Διαθέσιμη,Παιδιατρική
109,Πολύκλινο,Κατειλημμένη,Παιδιατρική
110,Δίκλινο,Υπό Συντήρηση,Παιδιατρική
111,Μονόκλινο,Διαθέσιμη,Παιδιατρική
112,Δίκλινο,Υπό Συντήρηση,Παιδιατρική
113,Μονόκλινο,Υπό Συντήρηση,Παιδιατρική
114,Μονόκλινο,Διαθέσιμη,Παιδιατρική
115,Μονόκλινο,Κατειλημμένη,Παιδιατρική
116,Μονόκλινο,Διαθέσιμη,Παιδιατρική
117,Δίκλινο,Κατειλημμένη,Παιδιατρική
118,Δίκλινο,Διαθέσιμη,Παιδιατρική
119,ΜΕΘ,Υπό Συντήρηση,Παιδιατρική
120,ΜΕΘ,Διαθέσιμη,Παιδιατρική
121,Δίκλινο,Υπό Συντήρηση,Γυναικολογία
122,Μονόκλινο,Κατειλημμένη,Γυναικολογία
123,Μονόκλινο,Υπό Συντήρηση,Γυναικολογία
124,Δίκλινο,Υπό Συντήρηση,Γυναικολογία
125,Δίκλινο,Κατειλημμένη,Γυναικολογία
126,ΜΕΘ,Υπό Συντήρηση,Γυναικολογία
127,Μονόκλινο,Διαθέσιμη,Γυναικολογία
128,Πολύκλινο,Κατειλημμένη,Γυναικολογία
129,ΜΕΘ,Διαθέσιμη,Γυναικολογία
130,Δίκλινο,Διαθέσιμη,Γυναικολογία
131,Μονόκλινο,Διαθέσιμη,Γυναικολογία
132,Δίκλινο,Υπό Συντήρηση,Γυναικολογία
133,ΜΕΘ,Υπό Συντήρηση,Γυναικολογία
134,Πολύκλινο,Κατειλημμένη,Γυναικολογία
135,Δίκλινο,Υπό Συντήρηση,Γυναικολογία
136,Δίκλινο,Υπό Συντήρηση,Γυναικολογία
137,ΜΕΘ,Υπό Συντήρηση,Γυναικολογία
138,ΜΕΘ,Υπό Συντήρηση,Γυναικολογία
139,Δίκλινο,Υπό Συντήρηση,Γυναικολογία
140,Μονόκλινο,Διαθέσιμη,Γυναικολογία
141,Δίκλινο,Υπό Συντήρηση,Νευρολογία
142,Πολύκλινο,Κατειλημμένη,Νευρολογία
143,Δίκλινο,Υπό Συντήρηση,Νευρολογία
144,Πολύκλινο,Διαθέσιμη,Νευρολογία
145,Δίκλινο,Διαθέσιμη,Νευρολογία
146,ΜΕΘ,Κατειλημμένη,Νευρολογία
147,Δίκλινο,Υπό Συντήρηση,Νευρολογία
148,Μονόκλινο,Διαθέσιμη,Νευρολογία
149,Πολύκλινο,Υπό Συντήρηση,Νευρολογία
150,ΜΕΘ,Διαθέσιμη,Νευρολογία
151,Μονόκλινο,Κατειλημμένη,Νευρολογία
152,Πολύκλινο,Κατειλημμένη,Νευρολογία
153,Μονόκλινο,Υπό Συντήρηση,Νευρολογία
154,ΜΕΘ,Κατειλημμένη,Νευρολογία
155,Δίκλινο,Διαθέσιμη,Νευρολογία
156,Δίκλινο,Κατειλημμένη,Νευρολογία
157,Πολύκλινο,Υπό Συντήρηση,Νευρολογία
158,Πολύκλινο,Διαθέσιμη,Νευρολογία
159,Πολύκλινο,Διαθέσιμη,Νευρολογία
160,Δίκλινο,Διαθέσιμη,Νευρολογία
161,Μονόκλινο,Υπό Συντήρηση,Ογκολογία
162,Μονόκλινο,Κατειλημμένη,Ογκολογία
163,Πολύκλινο,Κατειλημμένη,Ογκολογία
164,Δίκλινο,Διαθέσιμη,Ογκολογία
165,Πολύκλινο,Διαθέσιμη,Ογκολογία
166,Πολύκλινο,Κατειλημμένη,Ογκολογία
167,Πολύκλινο,Υπό Συντήρηση,Ογκολογία
168,Πολύκλινο,Διαθέσιμη,Ογκολογία
169,ΜΕΘ,Υπό Συντήρηση,Ογκολογία
170,Μονόκλινο,Διαθέσιμη,Ογκολογία
171,ΜΕΘ,Διαθέσιμη,Ογκολογία
172,Μονόκλινο,Υπό Συντήρηση,Ογκολογία
173,Μονόκλινο,Κατειλημμένη,Ογκολογία
174,ΜΕΘ,Διαθέσιμη,Ογκολογία
175,Πολύκλινο,Υπό Συντήρηση,Ογκολογία
176,ΜΕΘ,Διαθέσιμη,Ογκολογία
177,ΜΕΘ,Διαθέσιμη,Ογκολογία
178,ΜΕΘ,Κατειλημμένη,Ογκολογία
179,ΜΕΘ,Κατειλημμένη,Ογκολογία
180,Μονόκλινο,Διαθέσιμη,Ογκολογία
181,Μονόκλινο,Υπό Συντήρηση,Πνευμονολογία
182,Δίκλινο,Διαθέσιμη,Πνευμονολογία
183,Πολύκλινο,Διαθέσιμη,Πνευμονολογία
184,Δίκλινο,Διαθέσιμη,Πνευμονολογία
185,Μονόκλινο,Διαθέσιμη,Πνευμονολογία
186,Πολύκλινο,Κατειλημμένη,Πνευμονολογία
187,ΜΕΘ,Κατειλημμένη,Πνευμονολογία
188,Δίκλινο,Διαθέσιμη,Πνευμονολογία
189,Πολύκλινο,Διαθέσιμη,Πνευμονολογία
190,Πολύκλινο,Υπό Συντήρηση,Πνευμονολογία
191,Πολύκλινο,Κατειλημμένη,Πνευμονολογία
192,Μονόκλινο,Διαθέσιμη,Πνευμονολογία
193,Πολύκλινο,Υπό Συντήρηση,Πνευμονολογία
194,Πολύκλινο,Κατειλημμένη,Πνευμονολογία
195,Πολύκλινο,Υπό Συντήρηση,Πνευμονολογία
196,ΜΕΘ,Διαθέσιμη,Πνευμονολογία
197,Δίκλινο,Διαθέσιμη,Πνευμονολογία
198,Μονόκλινο,Υπό Συντήρηση,Πνευμονολογία
199,Δίκλινο,Διαθέσιμη,Πνευμονολογία
200,Δίκλινο,Κατειλημμένη,Πνευμονολογία
201,Μονόκλινο,Κατειλημμένη,Ουρολογία
202,ΜΕΘ,Διαθέσιμη,Ουρολογία
203,Μονόκλινο,Διαθέσιμη,Ουρολογία
204,Μονόκλινο,Κατειλημμένη,Ουρολογία
205,ΜΕΘ,Διαθέσιμη,Ουρολογία
206,Πολύκλινο,Κατειλημμένη,Ουρολογία
207,Πολύκλινο,Υπό Συντήρηση,Ουρολογία
208,Μονόκλινο,Κατειλημμένη,Ουρολογία
209,Πολύκλινο,Κατειλημμένη,Ουρολογία
210,ΜΕΘ,Κατειλημμένη,Ουρολογία
211,Μονόκλινο,Υπό Συντήρηση,Ουρολογία
212,Δίκλινο,Κατειλημμένη,Ουρολογία
213,Δίκλινο,Διαθέσιμη,Ουρολογία
214,Δίκλινο,Υπό Συντήρηση,Ουρολογία
215,ΜΕΘ,Διαθέσιμη,Ουρολογία
216,ΜΕΘ,Διαθέσιμη,Ουρολογία
217,Μονόκλινο,Κατειλημμένη,Ουρολογία
218,Πολύκλινο,Κατειλημμένη,Ουρολογία
219,Πολύκλινο,Κατειλημμένη,Ουρολογία
220,Πολύκλινο,Υπό Συντήρηση,Ουρολογία
221,Πολύκλινο,Κατειλημμένη,Οφθαλμολογία
222,Πολύκλινο,Κατειλημμένη,Οφθαλμολογία
223,ΜΕΘ,Κατειλημμένη,Οφθαλμολογία
224,Δίκλινο,Διαθέσιμη,Οφθαλμολογία
225,Πολύκλινο,Διαθέσιμη,Οφθαλμολογία
226,Μονόκλινο,Υπό Συντήρηση,Οφθαλμολογία
227,Μονόκλινο,Υπό Συντήρηση,Οφθαλμολογία
228,Δίκλινο,Υπό Συντήρηση,Οφθαλμολογία
229,ΜΕΘ,Κατειλημμένη,Οφθαλμολογία
230,Πολύκλινο,Κατειλημμένη,Οφθαλμολογία
231,Δίκλινο,Κατειλημμένη,Οφθαλμολογία
232,ΜΕΘ,Κατειλημμένη,Οφθαλμολογία
233,Μονόκλινο,Υπό Συντήρηση,Οφθαλμολογία
234,ΜΕΘ,Κατειλημμένη,Οφθαλμολογία
235,Πολύκλινο,Υπό Συντήρηση,Οφθαλμολογία
236,Μονόκλινο,Διαθέσιμη,Οφθαλμολογία
237,Μονόκλινο,Υπό Συντήρηση,Οφθαλμολογία
238,Δίκλινο,Υπό Συντήρηση,Οφθαλμολογία
239,Δίκλινο,Υπό Συντήρηση,Οφθαλμολογία
240,ΜΕΘ,Υπό Συντήρηση,Οφθαλμολογία
241,ΜΕΘ,Κατειλημμένη,ΩΡΛ
242,Μονόκλινο,Κατειλημμένη,ΩΡΛ
243,Πολύκλινο,Υπό Συντήρηση,ΩΡΛ
244,Πολύκλινο,Διαθέσιμη,ΩΡΛ
245,ΜΕΘ,Διαθέσιμη,ΩΡΛ
246,Πολύκλινο,Κατειλημμένη,ΩΡΛ
247,ΜΕΘ,Διαθέσιμη,ΩΡΛ
248,Δίκλινο,Υπό Συντήρηση,ΩΡΛ
249,Πολύκλινο,Διαθέσιμη,ΩΡΛ
250,Δίκλινο,Διαθέσιμη,ΩΡΛ
251,Δίκλινο,Διαθέσιμη,ΩΡΛ
252,Πολύκλινο,Υπό Συντήρηση,ΩΡΛ
253,Δίκλινο,Διαθέσιμη,ΩΡΛ
254,Δίκλινο,Διαθέσιμη,ΩΡΛ
255,Μονόκλινο,Διαθέσιμη,ΩΡΛ
256,Πολύκλινο,Υπό Συντήρηση,ΩΡΛ
257,Μονόκλινο,Υπό Συντήρηση,ΩΡΛ
258,ΜΕΘ,Κατειλημμένη,ΩΡΛ
259,ΜΕΘ,Διαθέσιμη,ΩΡΛ
260,Μονόκλινο,Διαθέσιμη,ΩΡΛ
261,ΜΕΘ,Υπό Συντήρηση,Γαστρεντερολογία
262,Πολύκλινο,Υπό Συντήρηση,Γαστρεντερολογία
263,Δίκλινο,Υπό Συντήρηση,Γαστρεντερολογία
264,Μονόκλινο,Κατειλημμένη,Γαστρεντερολογία
265,ΜΕΘ,Διαθέσιμη,Γαστρεντερολογία
266,Πολύκλινο,Διαθέσιμη,Γαστρεντερολογία
267,Δίκλινο,Διαθέσιμη,Γαστρεντερολογία
268,ΜΕΘ,Κατειλημμένη,Γαστρεντερολογία
269,Δίκλινο,Υπό Συντήρηση,Γαστρεντερολογία
270,Μονόκλινο,Διαθέσιμη,Γαστρεντερολογία
271,Μονόκλινο,Διαθέσιμη,Γαστρεντερολογία
272,Πολύκλινο,Διαθέσιμη,Γαστρεντερολογία
273,ΜΕΘ,Κατειλημμένη,Γαστρεντερολογία
274,Μονόκλινο,Κατειλημμένη,Γαστρεντερολογία
275,Δίκλινο,Υπό Συντήρηση,Γαστρεντερολογία
276,Μονόκλινο,Υπό Συντήρηση,Γαστρεντερολογία
277,Πολύκλινο,Υπό Συντήρηση,Γαστρεντερολογία
278,Δίκλινο,Διαθέσιμη,Γαστρεντερολογία
279,Πολύκλινο,Υπό Συντήρηση,Γαστρεντερολογία
280,ΜΕΘ,Διαθέσιμη,Γαστρεντερολογία
281,Πολύκλινο,Κατειλημμένη,Ενδοκρινολογία
282,Δίκλινο,Κατειλημμένη,Ενδοκρινολογία
283,Πολύκλινο,Κατειλημμένη,Ενδοκρινολογία
284,Πολύκλινο,Διαθέσιμη,Ενδοκρινολογία
285,Μονόκλινο,Διαθέσιμη,Ενδοκρινολογία
286,ΜΕΘ,Κατειλημμένη,Ενδοκρινολογία
287,ΜΕΘ,Κατειλημμένη,Ενδοκρινολογία
288,Δίκλινο,Κατειλημμένη,Ενδοκρινολογία
289,Πολύκλινο,Διαθέσιμη,Ενδοκρινολογία
290,Μονόκλινο,Κατειλημμένη,Ενδοκρινολογία
291,Πολύκλινο,Διαθέσιμη,Ενδοκρινολογία
292,Πολύκλινο,Υπό Συντήρηση,Ενδοκρινολογία
293,Μονόκλινο,Κατειλημμένη,Ενδοκρινολογία
294,ΜΕΘ,Κατειλημμένη,Ενδοκρινολογία
295,Πολύκλινο,Διαθέσιμη,Ενδοκρινολογία
296,Δίκλινο,Υπό Συντήρηση,Ενδοκρινολογία
297,Πολύκλινο,Διαθέσιμη,Ενδοκρινολογία
298,ΜΕΘ,Υπό Συντήρηση,Ενδοκρινολογία
299,Δίκλινο,Διαθέσιμη,Ενδοκρινολογία
300,Δίκλινο,Υπό Συντήρηση,Ενδοκρινολογία
